도서명,저자,발행처,발행년도,자료유형,소장처,등록일
(The) alternatives :a novel,[by] Caoilinn Hughes,Riverhead Books,2025,단행본,서울도서관,20251023
"현대문학 비평 :역사, 이론, 설계 =Modern literary criticsim : history, theory, practice",이명재,걷는사람,2025,단행본,서울도서관,20251023
애거사 크리스티 코드 :다섯 가지 코드로 크리스티를 읽다: Agatha Christie,오오야 히로코 지음,애플북스 : 비전비엔피,2025,단행본,서울도서관,20251023
이재명의 서재 :이재명을 만든 100권의 책들,이채윤 지음,다차원북스,2025,단행본,서울도서관,20251023
스토리 리부트 :이야기는 어떻게 생성되는가 =Story reboot,김만수 지음,알렙,2025,단행본,서울도서관,20251023
"(The) finer things :timeless furniture, textiles, and details",[by] Christiane Lemieux,Clarkson Potter,2016,단행본,서울도서관,20251023
지금도 늦지 않았어 미안해,박현숙 글,이지북,2025,단행본,서울도서관,20251023
여우의 자전거,마르쿠스 군나르 페테르손 글·그림,지양어린이 : 지양사,2025,단행본,서울도서관,20251023
"오늘의 어린이책 :성평등 어린이책을 말하는 열 가지 목소리 .4 ,다움북클럽이 고른 성평등 어린이·청소년책 2024-2025",김다노,다움북클럽 : 오늘나다움,2025,단행본,서울도서관,20251023
"서울대 권장도서, MBTI로 읽다",임수현 지음,Différance(디페랑스),2025,단행본,서울도서관,20251023
(한 번 읽으면 절대 잊을 수 없는) 글쓰기 교과서,쓰지 다카무네 지음,시그마북스,2025,단행본,서울도서관,20251023
"북마녀의 웹소설 프로듀싱 아카데미 :신인 작가, 신입 PD를 위한 출판 시스템 완벽 공략집",북마녀 지음,요다,2025,단행본,서울도서관,20251023
생존 문해력 :디지털 리터러시의 새로운 패러다임,진정용 지음,미다스북스,2025,단행본,서울도서관,20251023
책방 과학자의 인문학 필사 노트 :인문학을 시작하는 모든 이를 위한 80 작품 속 최고의 문장들,이명현 지음,땡스B : 메가스터디,2025,단행본,서울도서관,20251023
쇼펜하우어의 글쓰기 철학 :마음을 움직이는 글은 어떻게 탄생하는가,쇼펜하우어 지음,유아이북스,2025,단행본,서울도서관,20251023
(보정) 한글 맞춤법 강의,이희승,신구학원 신구문화사,2018,단행본,서울도서관,20251023
"선생님, 무슨 책 읽어요?",한국학교도서관협의회 지음,ㄱ(기역),2024,단행본,서울도서관,20251023
"프레네, 일하는 인간의 본성과 교육",셀레스탱 프레네 지음,살림터,2025,단행본,서울도서관,20251023
부모가 변해야 아이가 바로 선다 :가족의 가치 되찾기: 단단한 가족 만들기,찰스 소피 지음,북스힐,2025,단행본,서울도서관,20251023
KIS 교육은 무엇이 특별한가 :한국과 같으면서도 다른 특별한 교육,손성호 외 지음,에듀니티,2025,단행본,서울도서관,20251023
암묵적 영역,마이클 폴라니 저,박영stroy : 피와이메이트,2025,단행본,서울도서관,20251023
(미리 알면 돈 버는) 교사 연금설계 재테크,김선후 지음,테크빌교육,2025,단행본,서울도서관,20251023
이토록 영화로운 수업 :영화로 수업하는 교사를 위한 안내서,차승민 지음,케렌시아,2025,단행본,서울도서관,20251023
(그림책으로 쓰는) 자서전 수업,호민애,H(휴머니스트출판그룹),2025,단행본,서울도서관,20251023
도비쌤의 연구대회 필승 가이드 :왕초보도 100% 입상하는 실전전략,도비쌤 지음,테크빌교육,2025,단행본,서울도서관,20251023
학교폭력 예방 및 학생의 이해 =School violence prevention and student understanding,유형근,학지사,2025,단행본,서울도서관,20251023
(국어 교사가 만든 국어 교사를 위한) 찐 실전 ChatGPT :생성형 AI 국어 수업 활용하기!,강유정,광문각출판미디어,2025,단행본,서울도서관,20251023
어울림의 교육철학 =The educational philosophy of oulim,심승환 저,교육과학사,2025,단행본,서울도서관,20251023
"이순신, 서울에서 만나다",마크 피터슨,서울특별시 문화본부 박물관과,2025,서울시 간행물,서울도서관,20251023
"이순신, 서울에서 만나다",마크 피터슨,서울특별시 문화본부 박물관과,2025,서울시 간행물,서울도서관,20251023
교육심리학 =Educational psychology,권순달,양서원,2025,단행본,서울도서관,20251023
교육사회학 =Sociology of education,이위환 지음,창지사,2025,단행본,서울도서관,20251023
평생교육론 :한국적 평생교육의 이해와 실천 =Introduction to lifelong education : theory and practice of korea,오혁진,학지사,2025,단행본,서울도서관,20251023
(대한민국 제과기능장 김우석의) 메종드빵 리얼레시피,김우석 저,이프애드,2025,단행본,서울도서관,20251023
무지개 윙크 :구옥순 동시집,구옥순 지음,청개구리,2024,단행본,서울도서관,20251023
보이차·자사호와의 아름다운 만남 :초보자를 위한 보이차·자사호의 36가지 기본 지식,서범석 저,한경사,2025,단행본,서울도서관,20251023
(조선셰프 서유구의) 채소 이야기 =Chosun chef's vegetable,풍석문화재단 음식연구소 지음,자연경실: 풍석문화재단,2025,단행본,서울도서관,20251023
"오늘의 커피 :사계절, 내게 어울리는 커피 찾기",권용원 지음,마음사이로,2025,단행본,서울도서관,20251023
프로페셔널 초콜릿 테크닉 =Professional chocolate technic,신태화,백산출판사,2025,단행본,서울도서관,20251023
Tasty & balance cooking :style your daily life with cooking,Kim Min Sung 지음,온도,2025,단행본,서울도서관,20251023
(아이가 잘 먹는) 5분 완성 완밥 유아식 :엄마와 아이 모두 즐거운 유아식,이정은 지음,용감한 까치,2025,단행본,서울도서관,20251023
짧은 영어패턴 100개의 힘 :문법을 몰라도 말이 착착 =The power of 100 short English patterns,영어언니 지음,길벗이지:톡 : 길벗,2025,단행본,서울도서관,20251023
"번역, 이럴 땐 이렇게 :사례별, 지문별, 상황별 번역 강의 ,실전편",조원미 지음,이다새 : 부키,2025,단행본,서울도서관,20251023
"(Hello와 hi 사이,) 네이티브 영어의 비밀",AI 편집부 지음,Pub.365(삼육오),2025,단행본,서울도서관,20251023
"천년손이 고민해결사무소 .3 ,저승에서 환생꽃을 찾아라!",김성효 글,해냄: 해냄출판사,2022,단행본,서울도서관,20251023
"천년손이 고민해결사무소 .5 ,버려진 요괴들의 도시와 무명의 정체",김성효 글,해냄: 해냄출판사,2024,단행본,서울도서관,20251023
고양이를 안 키워서 얼마나 다행이야,옌즈하오 글,Mirae N 아이세움 : 미래엔,2024,단행본,서울도서관,20251023
와글바글 동물 옛이야기,김세진,보리,2025,단행본,서울도서관,20251023
봄날의 아콩이,윤성은 글,고래뱃속,2025,단행본,서울도서관,20251023
떡볶이는 언제나 옳다,정은정 글,노란상상,2025,단행본,서울도서관,20251023
슝뚜루뚱까라의 핫한 패션숍,박주혜 글,소원나무,2024,단행본,서울도서관,20251023
학교야 놀자 :놀면 저절로 써지는 시 : 2025 대구광역시교육청 책쓰기 프로젝트,대구월성초등학교 어린이들 글·그림,고래책빵,2025,단행본,서울도서관,20251023
똥꼬의 편지,그리하여 쓰고 그림,Poongyohari(풍요하리),2025,단행본,서울도서관,20251023
최애의 소문 :변하리 유니버스,제성은 글,푸른숲주니어 : 푸른숲,2025,단행본,서울도서관,20251023
오늘 하루 어땠어?,김민지 글,계수나무,2025,단행본,서울도서관,20251023
반려 돼지 구진심의 특별한 동물 상담,안지은 글,머핀북,2025,단행본,서울도서관,20251023
추억은 방울방울,오카모토 호타루,대원씨아이,2025,단행본,서울도서관,20251023
찾았다 :박영주 동시집,박영주 동시,책고래,2025,단행본,서울도서관,20251023
스쿨뉴스를 믿지 마세요,김찬경 글,포에버영,2025,단행본,서울도서관,20251023
"황석영의 어린이 민담집 .26 ,은혜 갚은 동물들",황석영 글,아이휴먼: 휴먼큐브,2025,단행본,서울도서관,20251023
(무한의 계단) 미래소년 밍모 :본격 직업탐구 코믹 스토리북 .3,무한의 계단,서울문화사,2025,단행본,서울도서관,20251023
"무적의 고양이 손 .3 ,문어빵 가게의 대단한 비법",우치다 린타로 글,키다리,2025,단행본,서울도서관,20251023
"드래곤 마스터 .13 ,어스퀘이크 드래곤의 눈",트레이시 웨스트 글,다산어린이 : 다산북스,2025,단행본,서울도서관,20251023
프로드,임태리 글,가문비어린이 : 가문비,2025,단행본,서울도서관,20251023
"간 떨어지는 분식집 .5 ,귀신을 기절시키는 국수",박현숙 글,아울북: 북이십일,2024,단행본,서울도서관,20251023
용기 대결! :용기태 vs 나도정,이현아 글,한림출판사,2025,단행본,서울도서관,20251023
"(이사도라 문) 마녀 요정 미라벨 .1 ,소동을 일으키다",해리엇 먼캐스터 지음,을파소 : 북이십일,2021,단행본,서울도서관,20251023
"(이사도라 문) 마녀 요정 미라벨 .8 ,축구를 하다",해리엇 먼캐스터 지음,을파소 : 북이십일,2025,단행본,서울도서관,20251023
책 요정 도도 :도서관을 구해 줘!,수현 글,파스텔하우스,2025,단행본,서울도서관,20251023
나의 해파리 소년,니콜 고드윈 지음,불광출판사,2025,단행본,서울도서관,20251023
시간을 모으는 생쥐,소중애 글,열림원어린이,2025,단행본,서울도서관,20251023
조선 우체부 :대한민국 최초의 우체국 이야기,이윤희,써네스트,2025,단행본,서울도서관,20251023
"여섯 마리, 꼬마 막대",티파니 스톤 글,이음(Eum),2025,단행본,서울도서관,20251023
불의 날개와 용들의 세계 :불의 날개 안내서,투이 서덜랜드 지음,김영사,2025,단행본,서울도서관,20251023
여름이 좋아,민느 글,어린이 작가정신 : 작가정신,2025,단행본,서울도서관,20251023
(소원을 들어주는) 미호네 .10,이나영 글,겜툰,2025,단행본,서울도서관,20251023
다쪽이와 담임 선생님의 비밀 :교권 확립 동화,고정욱 글,뭉치 : 동아엠앤비,2025,단행본,서울도서관,20251023
꿈을 빛내는 아이들,박경선 글,지식산업사,2025,단행본,서울도서관,20251023
"(사고뭉치 소방관) 오케이 .2 ,구름월드의 사고를 막아라!",강효미 글,길벗스쿨,2025,단행본,서울도서관,20251023
그린커피 :커피 향미의 시작,신혜경 지음,Coffee Today(커피투데이),2025,단행본,서울도서관,20251023
(매일 만들어 먹고 싶은) 핫플 카페의 인기 샌드위치,지선아 지음,리스컴,2025,단행본,서울도서관,20251023
와인 스토리 :50가지 와인에 담긴 깊은 이야기를 마시다 =The story of wine,신인식 지음,넥서스books : 넥서스,2025,단행본,서울도서관,20251023
"티밥, T1의 밥상 :T1을 위한 티셰프의 티밥 티어리스트",김재형 지음,Golden Rabbit(골든래빗),2025,단행본,서울도서관,20251023
New 호텔 디저트 실무 =New hotel dessert,신태화,백산출판사,2025,단행본,서울도서관,20251023
(따뜻한 여사의) 월간 집밥 :한 번 요리로 한 달이 편한 밀프렙,따뜻한 여사 지음,Cypress(싸이프레스),2025,단행본,서울도서관,20251023
(항암 요리 전문가 황미선의) 치유식,황미선 지음,조선뉴스프레스 여성조선,2025,단행본,서울도서관,20251023
우리 아이 사계절 별난 밥상 :눈과 입을 사로잡는 밥태기 극복 레시피 40,서은지 지음,티나,2025,단행본,서울도서관,20251023
넷플릭스 공식 레시피 :지금 뜨는 70개 레시피,Anna Painter 저,Youngjin.com(영진닷컴),2025,단행본,서울도서관,20251023
(전문조리사가 되기 위해 꼭 알아야 할) 기초서양조리 이론과 실기 =Basic western cuisine,염진철,백산출판사,2025,단행본,서울도서관,20251023
"오늘도, 근사한 밥 :매일 먹는 밥이니까",김연아 지음,빛날희,2025,단행본,서울도서관,20251023
커피와의 완벽한 만남 시나몬 롤 :cinnamon roll,강나루,BnCworld(비앤씨월드),2025,단행본,서울도서관,20251023
올 오브 더 라떼아트 =All of the latte art,한준섭,크라운출판사,2025,단행본,서울도서관,20251023
(요리 마법사 아하부장의) 매직 레시피 :난생처음 요리하는 당신이라도 전문점 맛 그대로! =Magic recipe,아하부장 지음,프롬비,2024,단행본,서울도서관,20251023
(내게는 특별한) 러시아어 어휘를 부탁해,조희숙 지음,다락원,2025,단행본,서울도서관,20251023
100일 만에 프리토킹 :시원스쿨 new 왕초보탈출,엘바쌤 지음,시원스쿨닷컴 : 에스제이더블유인터내셔널,2025,단행본,서울도서관,20251023
시원스쿨 네이티브 어디서나 통하는 리얼 영어회화 :50개 상황으로 떠나는 방구석 어학 연수,제나 강 지음,시원스쿨닷컴 : 에스제이더블유인터내셔널,2025,단행본,서울도서관,20251023
"예술, 영혼을 담다 :쉐퍼와 로크마커의 예술과 신앙",김원희 지음,Jouissance(주이상스),2025,단행본,서울도서관,20251023
"Metabolic freedom :a 30-day guide to restore your metabolism, heal hormones & burn fat",[by] Ben Azadi,Hay House,2025,단행본,서울도서관,20251023
Sunrise on the reaping :a hunger games novel by Suzanne Collins,by Suzanne Collins,Scholastic Press,2025,단행본,서울도서관,20251023
(The) names :a novel,[by] Florence Knapp,Pamela Dorman Books: Viking,2025,단행본,서울도서관,20251023
(The) antidote :a novel,[by] Karen Russell,Alfred A. Knopf,2025,단행본,서울도서관,20251023
재난과 문학,박인성,역락,2025,단행본,서울도서관,20251023
우리반 금쪽이를 위한 사회정서학습,신건철,박영story : 피와이메이트,2025,단행본,서울도서관,20251023
더 페어링 :술과 음식의 더 맛있는 만남 =The pairing,강지영,BnCworld(비앤씨월드),2025,단행본,서울도서관,20251023
(한국술 발전과 세계화를 위한) K-술과 칵테일 =K-liquor & cocktail,전재구,백산출판사,2025,단행본,서울도서관,20251023
(진짜 기본) 한식 디저트책 :우리가 진짜 제대로 알고 싶은 전통 & 모던 한식 디저트 129가지,정희선,레시피팩토리,2025,단행본,서울도서관,20251023
(천연조미료와 저염식으로 만드는) 스마트 어린이 식단,임인숙,IMK: 크라운출판사,2025,단행본,서울도서관,20251023
"Supremacy :AI, ChatGPT, and the race that will change the world",[by] Parmy Olson,St. Martin's Press,2024,단행본,서울도서관,20251023
Purpose :find your truth and embrace your calling,[by] Jessica Huie,Hay House,2021,단행본,서울도서관,20251023
"(The) next conversation :argue less, talk more",[by] Jefferson Fisher,TarcherPerigee,2025,단행본,서울도서관,20251023
"How to be well :navigating our self-care epidemic, one dubious cure at a time",[by] Amy Larocca,Alfred A. Knopf,2025,단행본,서울도서관,20251023
Open when :a companion for life's twists and turns,[by] Julie Smith,HarperOne: HarperCollins Publisher,2024,단행본,서울도서관,20251023
Vatican spies :from the Second World War to Pope Francis,[by] Yvonnick Denoël,Hurst,2025,단행본,서울도서관,20251023
(The) tears of things :prophetic wisdom for an age of outrage,[by] Richard Rohr,Convergent,2025,단행본,서울도서관,20251023
Rich habits :the routines millionaires use daily that will help you build wealth,[by] Thomas C. Corley,Entrepreneur Press,2025,단행본,서울도서관,20251023
(A) different mirror :a history of multicultural America,[by] Ronald Takaki,Back Bay Books,2023,단행본,서울도서관,20251023
Talk :the science of conversation and the art of being ourselves,[by] Alison Wood Brooks,Crown,2025,단행본,서울도서관,20251023
Abundance,[by] Ezra Klein,Avid Reader Press: Simon & Schuster,2025,단행본,서울도서관,20251023
You didn't hear this from me :(mostly) true notes on gossip,[by] Kelsey McKinney,Grand Central Publishing,2025,단행본,서울도서관,20251023
(The) sirens' call :inner life in the age of attention capitalism,[by] Chris Hayes,Penguin Press,2025,단행본,서울도서관,20251023
(Do it!) 커서로 시작하는 AI 코딩 입문,고경희 지음,이지스퍼블리싱,2025,단행본,서울도서관,20251023
블렌더 3D CG 애니메이션 실전 입문 :캐릭터의 매력적인 동작을 만드는 법,나츠모리 카츠 지음,AK커뮤니케이션즈,2025,단행본,서울도서관,20251023
Waste wars :the wild afterlife of your trash,[by] Alexander Clapp,"Little, Brown and Company",2025,단행본,서울도서관,20251023
Interior design master class :100 lessons from America's finest designers on the art of decoration,edited by Carl Dellatorre,Rizzoli International Publications,2016,단행본,서울도서관,20251023
(A) mind of her own :a novel,[by] Danielle Steel,Delacorte Press,2025,단행본,서울도서관,20251023
"(Shred happens) so easy, so good :100+ protein-packed Mediterranean favorites with a low-carb twist",[by] Arash Hashemi,Rodale Books,2025,단행본,서울도서관,20251023
Today loves food :recipes from America's favorite kitchen,by The Today Show Family and Friends,Abrams,2025,단행본,서울도서관,20251023
"(The) art of slow writing :reflections on time, craft, and creativity",[by] Louise DeSalvo,St. Martin's Griffin,2014,단행본,서울도서관,20251023
Night country :a hazel wood novel,[by] Melissa Albert,Flatiron Books,2021,단행본,서울도서관,20251023
"Great soul of Siberia :passion, obsession, and one man's quest for the world's most elusive tiger",[by] Sooyong Park,Greystone Books,2015,단행본,서울도서관,20251023
(The) ballad of the sad café,[by] Carson McCullers,Penguin Classic: Penguin Books,2022,단행본,서울도서관,20251023
Conclave,[by] Robert Harris,Vintage Books,2024,단행본,서울도서관,20251023
Ripe :a novel,[by] Sarah Rose Etter,Scribner,2024,단행본,서울도서관,20251023
Foreign fruit :a personal history of the orange,[by] Katie Goh,Tin House Books,2025,단행본,서울도서관,20251023
Exquisite corpse :a novel,[by] Poppy Z. Brite,Gallery Books,2025,단행본,서울도서관,20251023
I decided to live as me :an illustrated checklist for how to stop comparing yourself to others so you can learn to love yourself,[by] Kim Suhyun,Penguin Life,2024,단행본,서울도서관,20251023
Big dumb eyes :stories from a simpler mind,[by] Nate Bargatze,Grand Central Publishing,2025,단행본,서울도서관,20251023
내가 너라서 좋아,피터 H. 레이놀즈 그림,초록귤 : 우리학교,2025,단행본,서울도서관,20251023
(명랑 탐정) 홍조이 .2,신은경 글,이지북,2025,단행본,서울도서관,20251023
냉동 인간 이시후 :윤영주 장편동화,윤영주 지음,창비,2025,단행본,서울도서관,20251023
딸기는 모두 귀여워,아시하라 가모 글,스푼북,2025,단행본,서울도서관,20251023
길냥이 루피 :버려진 존재들의 바다마을 생존기,윤슬 글,프롬아이,2025,단행본,서울도서관,20251023
오리 우체부,고수진 글,이지북,2025,단행본,서울도서관,20251023
퍼플 빅,정화영 글,이지북,2025,단행본,서울도서관,20251023
"발자국 탐정 왈녹 .3 ,출동! 비글 구조대",백연화 글,지학사아르볼 : 지학사,2025,단행본,서울도서관,20251023
교실은 어린이 구역,최은영 글,개암나무,2025,단행본,서울도서관,20251023
"Original sin :President Biden's decline, its cover-up, and his disastrous choice to run again",[by] Jake Tapper,Penguin Press,2025,단행본,서울도서관,20251023
"How to share an egg :a true story of hunger, love, and plenty",[by] Bonny Reichert,Ballantine Books,2025,단행본,서울도서관,20251023
(The) house of my mother :a daughter's quest for freedom,[by] Shari Franke,Gallery Books,2025,단행본,서울도서관,20251023
(A) journal for Jordan :a story of love and honor,[by] Dana Canedy,Crown,2021,단행본,서울도서관,20251023
바람골을 찾아서,김송순 글,샘터: 샘터사,2025,단행본,서울도서관,20251023
Anyone's ghost :a novel,[by] August Thompson,Penguin Press,2024,단행본,서울도서관,20251023
회장도 월급이 필요해 :이수용 창작동화,이수용 지음,별숲,2025,단행본,서울도서관,20251023
은폐된 서술자 :소설이 영혼이 되는 소설 : 임우기 비평문집,임우기 지음,솔: 솔출판사,2025,단행본,서울도서관,20251023
(모빌리티 렌즈로 보는) 현대시,김나현 지음,앨피,2025,단행본,서울도서관,20251023
문학의 민주주의 :구로노동자문학회 소사(小史),장성규 지음,역락,2025,단행본,서울도서관,20251023
이상한 운명 :임화평전,이형권 지음,궁미디어,2025,단행본,서울도서관,20251023
현대시조의 불교 미학 탐구 :권성훈 평론집,권성훈 지음,실천문학,2025,단행본,서울도서관,20251023
서정주라는 문학적 사건,최현식 지음,b,2024,단행본,서울도서관,20251023
"그래도 독서, 그러니까 독서! :읽는 아이가 세상을 이긴다",김세진 지음,재재책집,2025,단행본,서울도서관,20251023
"내가 만난 책, 그리고 삶 :책을 통해 찾은 삶의 좌표",이희택 지음,드림위드에스,2025,단행본,서울도서관,20251023
단단한 일상을 만드는 내 인생의 책들 :독서모임과 함께 성장한 선생님들의 독서 에세이,충남교사독서모임 간서치 지음,작은숲: 작은숲출판사,2025,단행본,서울도서관,20251023
"피츠제럴드, 글쓰기의 분투 :스콧 피츠제럴드는 '이렇게 글을 씁니다!'",F. 스콧 피츠제럴드 지음,Sb(스마트비즈니스),2025,단행본,서울도서관,20251023
(한 권으로 끝내는) 그림책 보건 수업 :교육 과정에 맞춘 열두 달 보건 교육 길잡이,김향임,학교도서관저널,2025,단행본,서울도서관,20251023
쓰기 교양 :AI 시대 어떻게 읽고 쓸 것인가,박숙자 지음,삼인,2025,단행본,서울도서관,20251023
인생을 바꾼 오늘도 독서 완료 :매일 책 읽는 엄마의 삶은 다르다,김은주,미다스북스,2025,단행본,서울도서관,20251023
(Kate L. Turabian의 a manual for writers를 바탕으로 한) 논문작성법,임원택 지음,대서,2024,단행본,서울도서관,20251023
사실의 수명 :진실한 글을 향한 예술과 원칙의 대결,존 다가타 작,글항아리,2025,단행본,서울도서관,20251023
(자연 생태 웃긴 만화) 동물 경찰관 덕빌 :월클! 연기대상,후먀오펀 글,플레이북 : 아이콕스,2025,단행본,서울도서관,20251023
"AI 광고 제작 :비용 걱정 No, 하루 1시간에 완성! : 숏폼 홍보 영상부터 브랜드 광고까지",문수민,길벗,2025,단행본,서울도서관,20251023
(The) Trading Game :a confession,[by] Gary Stevenson,Crown Currency,2024,단행본,서울도서관,20251023
"(이사도라 문) 마녀 요정 미라벨 .4 ,말썽에 휘말리다",해리엇 먼캐스터 지음,을파소 : 북이십일,2023,단행본,서울도서관,20251023
(The) use of photography,[by] Annie Ernaux,Seven Stories Press,2024,단행본,서울도서관,20251023
"(이영목, 나지훈 교수의) 소아청소년 신경질환을 위한 저당지수 식사 가이드 :보호자, 영양사, 전문의를 위한 저당지수 식사요법의 모든 것: low glycemic index treatment",연세의대 강남세브란스병원,싸이프레스,2025,단행본,서울도서관,20251023
"메멘토 아르스 :보고, 듣고, 느끼며, =Memento ars",신인선,모노폴리,2025,단행본,서울도서관,20251023
내가 사랑한 예술가들 :창작은 삶의 격랑에 맞서는 가장 우아한 방법이다,마이클 페피엇 지음,Designhouse(디자인하우스),2025,단행본,서울도서관,20251023
"정태춘 .2 ,92년 장마, 종로에서",이영미 엮음,한울: 한울엠플러스,2025,단행본,서울도서관,20251023
미술관에 간 만화미학자 :미술을 삐딱하게 보는 어느 만화미학자의 이유 있는 궤변,박세현 지음,팬덤북스,2025,단행본,서울도서관,20251023
(마음이 머무는) 클래식 :최영민의 클래식(음악)치유,최영민 著,에듀래더 글로벌,2025,단행본,서울도서관,20251023
영어 초보 탈출 :초보자도 입이 열리는 단계별 패턴 훈련!,이현석 지음,롱테일북스,2025,단행본,서울도서관,20251023
(영어시험 만점받는) 초등영어 학습영단어 1700,김주영 지음,Lancom(랭컴),2025,단행본,서울도서관,20251023
잼잼 쉬운 일본어 매일 365 :아주 쉽게 따라하는 데일리 일본어의 모든 것,이원준 엮음,반석출판사,2025,단행본,서울도서관,20251023
영어회화 필수표현 1500 :let's practice English speaking expressions!,Chris Suh 지음,Mentors,2025,단행본,서울도서관,20251023
Speak simple :네이티브는 쉬운 영어로 말한다,Sean Pablo 지음,길벗이지톡: 길벗,2025,단행본,서울도서관,20251023
(네이티브처럼 자연스럽고 정확한 말하기를 위한) 리닛 쌤의 영어 교정 수업 :한국인이 회화에서 하는 영어 실수의 모든 것 : the English mistakes you didn't know you made,리닛 알네자 지음,동양북스,2025,단행본,서울도서관,20251023
Matriarch :a memoir,[by] Tina Knowles,One World,2025,단행본,서울도서관,20251023
꼴찌박사 조명환,조명환,해와나무,2025,단행본,서울도서관,20251023
이세계 급식실 :박규빈 그림책,박규빈 글·그림,북멘토,2025,단행본,서울도서관,20251023
아빠 고르기,채인선 글,논장,2025,단행본,서울도서관,20251023
서브,탁정은 글,다산어린이 : 다산북스,2025,단행본,서울도서관,20251023
"천공의 환상 동물원 .2 ,수수께끼 전학생과 외눈박이 거인",다나카 도모후미,포레스트북스 : 콘텐츠그룹 포레스트,2025,단행본,서울도서관,20251023
내가 좋아하는 것,민느 글,어린이작가정신 : 작가정신,2025,단행본,서울도서관,20251023
"생각의 탄생 :생각이 번쩍, 미래가 반짝! .10 ,통신과 스마트폰",최재붕 글,아울북 : 북이십일,2025,단행본,서울도서관,20251023
지금도 늦지 않았어 사랑해,박현숙 글,이지북,2025,단행본,서울도서관,20251023
애리의 인생 레시피 =Aeree's life recipe,장애리 지음,겸엑스,2025,단행본,서울도서관,20251023
Harlem rhapsody,[by] Victoria Christopher Murray,Berkley,2025,단행본,서울도서관,20251023
All the other mothers hate me :a novel,[by] Sarah Harman,G.P. Putnam's Sons,2025,단행본,서울도서관,20251023
Wild dark shore,[by] Charlotte McConaghy,Flatiron Books,2025,단행본,서울도서관,20251023
When we ride :a novel,[by] Rex Ogle,Norton Young Readers,2025,단행본,서울도서관,20251023
Tilt :a novel,[by] Emma Pattee,Marysue Rucci Books,2025,단행본,서울도서관,20251023
(The) amalfi curse,[by] Sarah Penner,Park Row Books,2025,단행본,서울도서관,20251023
Survive the night :a novel,[by] Riley Sager,Dutton,2021,단행본,서울도서관,20251023
(The) last house on needless street,[by] Catriona Ward,Nightfire,2022,단행본,서울도서관,20251023
Her pretty face,[by] Robyn Harding,Scout Press,2019,단행본,서울도서관,20251023
Fearless,[by] Lauren Roberts,Simon & Schuster Books for Young Readers,2025,단행본,서울도서관,20251023
"Taking a long look :essays on culture, literature, and feminism in our time",[by] Vivian Gornick,Verso,2021,단행본,서울도서관,20251023
(A) greeting of the spirit :selected poetry of John Keats with commentaries,[by] Susan J. Wolfson,The Belknap Press of Harvard University Press,2022,단행본,서울도서관,20251023
(The) country life,[by] Rachel Cusk,Picador USA,2000,단행본,서울도서관,20251023
Onlookers :stories,[by] Ann Beattie,Scribner,2023,단행본,서울도서관,20251023
All along you were blooming :thoughts for boundless living,a collection of poetry from Morgan Harper Nichols,Zondervan,2020,단행본,서울도서관,20251023
(The) Penguin book of Japanese short stories,introduced by Haruki Murakami,Penguin Classics,2020,단행본,서울도서관,20251023
Still writing :the perils and pleasures of a creative life,[by] Dani Shapiro,Grove Press,2023,단행본,서울도서관,20251023
Umma :a Korean mom's kitchen wisdom & 100 family recipes,[by] Sarah Ahn,America's Test Kitchen,2025,단행본,서울도서관,20251023
(The) Wishbone Kitchen cookbook :seasonal recipes for everyday luxury and elevated entertaining,[by] Meredith Hayden,Ten Speed Press,2025,단행본,서울도서관,20251023
"(The) gut-brain paradox :improve your mood, clear brain fog, and reverse disease by healing your microbiome",[by] Steven R. Gundry,Harper: HarperCollinsPublishers,2025,단행본,서울도서관,20251023
Super agers :an evidence-based approach to longevity,[by] Eric Topol,Simon & Schuster,2025,단행본,서울도서관,20251023
Among the bros :a fraternity crime story,[by] Max Marshall,Harper: HarperCollinsPublishers,2023,단행본,서울도서관,20251023
Selling the dream :the billion-dollar industry bankrupting Americans,[by] Jane Marie,Atria Books,2024,단행본,서울도서관,20251023
"Seeking shelter :a working mother, her children, and a story of homelessness in America",[by] Jeff Hobbs,Scribner,2025,단행본,서울도서관,20251023
Bad law :ten popular laws that are ruining America,[by] Elie Mystal,The New Press,2025,단행본,서울도서관,20251023
"Careless people :a cautionary tale of power, greed, and lost idealism : a memoir",[by] Sarah Wynn-Williams,Flatiron Books,2025,단행본,서울도서관,20251023
(The) accidental superpower :ten years on : the next generation of American preeminence and the coming global disorder,by Peter Zeihan,Twelve,2023,단행본,서울도서관,20251023
Letter to my Palestian neighbor,[by] Yossi Klein Halevi,Harper Perennial,2019,단행본,서울도서관,20251023
"Science and philosophy in the Indian Buddhist classics .Vol. 4 ,Philosophical topics",Conceived and introduced by His Holiness the Dalai Lama,Wisdom Publications,2023,단행본,서울도서관,20251023
(The) 5 types of wealth :a transformative guide to design your dream life,[by] Sahil Bloom,Ballantine Books,2025,단행본,서울도서관,20251023
내 모든 것 :삶과 영화에 대한 고백들: 오정미 에세이,오정미 지음,Muze(무제),2025,단행본,서울도서관,20251022
해상풍력 터빈 기초 설계,수바모이 바타차르야 저,구미서관,2025,단행본,서울도서관,20251022
별무리의 이야기,썽,새벽감성,2025,단행본,서울도서관,20251022
"재벌 회장들의 몸을 설계한 남자 :최상위 0.001%의 은밀한 세계, 그 곁을 지킨 남자의 기록",해준 지음,힘찬북스,2025,단행본,서울도서관,20251022
