도서명,저자,발행처,발행년도,자료유형,소장처,등록일
"지속적 배포 :트렁크 기반 개발부터 자동화 배포, 기능 토글까지 실무에서 통하는 안전한 시스템 구축 가이드",발렌티나 세르빌 지음,한빛미디어,2025,단행본,서울도서관,20251203
"(LLM과 RAG로 구현하는) AI 애플리케이션 :에이전트, 펑션콜링, Text-to-SQL, MCP까지 라마인덱스 실무 가이드",에디 유,위키북스,2025,단행본,서울도서관,20251203
생성형 AI 활용과 실습 :챗GPT부터 코파일럿까지 따라 하며 익히는 AI 활용 가이드: generative AI,서지영 지음,한빛아카데미,2025,단행본,서울도서관,20251203
춤추는 수건 [점자라벨자료],제성은 글,개암나무,2019,단행본,서울도서관,20251203
당신은 왜 부자가 되지 못하는가 :개인의 부를 빼앗는 법정화폐와 비트코인 혁명,지미 송 지음,거인의정원,2025,단행본,서울도서관,20251203
"안녕, 포포! [점자라벨자료]",오월 글·그림,팜파스,2024,단행본,서울도서관,20251203
자소서 바이블 3.0 :Lee Hyung with Lee;Fam =The jasoseo bible 3.0,이준희 지음,Alivebooks(얼라이브북스),2025,단행본,서울도서관,20251203
북한의 난제 :인권과 핵안보의 균형,로버트 킹,북한인권정보센터,2022,단행본,서울도서관,20251203
깟짜야나 문법 .상,깟짜야나 저,세창출판사,2024,단행본,서울도서관,20251203
퀀텀의 시대 :인류 문명을 바꿀 양자컴퓨터의 미래와 현재 =The quantum age,이순칠 지음,해나무 : 북하우스 퍼블리셔스,2025,단행본,서울도서관,20251203
"발레, 미술관에 가다 :역사에서 무대까지, 그림과 함께 읽는 인문학적 발레의 모든 것",한지영 지음,북피움,2025,단행본,서울도서관,20251203
부동산의 탄생 :디벨로퍼 관점에서 쓴 부동산 개발 프로젝트 이야기,벤 스티븐스 지음,차밍시티,2024,단행본,서울도서관,20251203
오후엔 모두 남남이 되기로 해 :다정한 무관심이 필요한 순간,오영은 글·그림,김영사,2025,단행본,서울도서관,20251203
그로스 컬처 :한 명의 천재보다 강한 열 명의 열정을 만드는 마인드셋의 과학,메리 머피 지음,김영사,2025,단행본,서울도서관,20251203
일확연금 노후부자 :퇴직·국민·주택연금으로 만드는 든든한 노후 자산 설계 가이드,최만수,한국경제신문: 한경BP,2025,단행본,서울도서관,20251203
너의 인사,이이삼 글·그림,storage book and film,2025,단행본,서울도서관,20251203
뉴로심볼릭 AI :인공지능과 인간지능의 황금 균형,강양석,이콘: 이콘출판,2025,단행본,서울도서관,20251203
